Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Kritunga Restaurant,"Biryani, Andhra, Rayalaseema, South Indian, North Indian, Chinese",500.0,20% off | Use TRYNEW,3.9,20.0,TRYNEW
Cafe 555 & Aqeeq Restaurant,"Biryani, North Indian, Chinese",300.0,,4.1,20.0,
Andhra Meals,South Indian,200.0,10% off | Use PARTY,4.1,20.0,PARTY
Santosh Dhaba Exclusive,"North Indian, Biryani, Chinese, Italian, Mexican, Desserts",300.0,40% off | Use GUILTFREE,4.0,20.0,GUILTFREE
Sri Abhiruchi Biryani & Chinese Fast Food,Biryani,400.0,,4.1,20.0,
Paradise Biryani,"Biryani, Kebabs, North Indian, Hyderabadi",400.0,FLAT125 off | Use FLATDEAL,3.8,20.0,FLATDEAL
AB's - Absolute Barbecues,"Barbecue, Biryani, North Indian, Grill, Chinese, Mughlai, Seafood, Kebabs, Pan-A...",400.0,50% off | Use TRYNEW,3.7,20.0,TRYNEW
Sarvi Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor, Desserts",400.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Crystal Restaurant,"Biryani, North Indian, Chinese",350.0,50% off | Use TRYNEW,3.8,20.0,TRYNEW
Pista House Bakery,"Italian-American, Fast Food, Snacks, Continental",200.0,40% off | Use TRYNEW,4.0,20.0,TRYNEW
Hotel Shadab,"Biryani, North Indian, Chinese",400.0,15% off | Use PARTY,4.0,20.0,PARTY
Red Bucket Biryani,Biryani,500.0,,3.3,20.0,
Imperial Multi Cuisine Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",400.0,,4.1,20.0,
Burger King,"Burgers, American",350.0,60% off | Use STEALDEAL,4.1,20.0,STEALDEAL
Papadams Blue,"Biryani, Chinese, Andhra, North Indian, South Indian, Tandoor",500.0,40% off | Use TRYNEW,3.9,20.0,TRYNEW
Shahi Dastarkhwan,"North Indian, Chinese, Kebabs, Biryani, Desserts",500.0,60% off | Use TRYNEW,3.9,20.0,TRYNEW
Azam Hotel,"Biryani, North Indian, Mughlai, Tandoor",300.0,30% off | Use TRYNEW,4.1,20.0,TRYNEW
Swathi mess and dhaba,"Biryani, Chinese, Hyderabadi, North Indian, Indian",200.0,15% off | Use PARTY,4.0,20.0,PARTY
NIC Ice Creams,"Ice Cream, Desserts",120.0,Get every item under 159,4.4,20.0,
Srikanya Comfort,"Andhra, Biryani, Chinese, North Indian",500.0,,4.1,20.0,
La Pino'z Pizza,"Pizzas, Italian, Pastas, Mexican, Desserts",400.0,,3.9,20.0,
Balaji Santosh Family Dhaba,"North Indian, Tandoor, Chinese",300.0,40% off | Use GUILTFREE,4.1,20.0,GUILTFREE
Papaji Da Dhaba,"North Indian, Chinese, Tandoor",200.0,FLAT100 off | Use FLATDEAL,4.0,20.0,FLATDEAL
Bahar Biryani Cafe,"Biryani, North Indian, Chinese",350.0,50% off | Use TRYNEW,3.5,20.0,TRYNEW
A-1 Chicken Pakoda,"Biryani, Kebabs, Indian, Chinese, Mughlai",250.0,10% off | Use TRYNEW,4.0,20.0,TRYNEW
Kamath Hotel,South Indian,200.0,20% off | Use TRYNEW,4.4,20.0,TRYNEW
Food zone 2,"Mughlai, Chinese, Tandoor",300.0,,3.8,20.0,
